title,type,description
The Witcher 3: Wild Hunt,Game,A dark fantasy open-world RPG involving monster hunting and magic.
Genshin Impact,Game,An anime-style open-world RPG with elemental magic and character swapping.
Jujutsu Kaisen,Anime,A dark fantasy anime where sorcerers fight powerful curses using cursed energy.
Bleach,Anime,A teenager obtains the powers of a Soul Reaper to protect humans from evil spirits.
House of the Dragon,Show,A prequel series focusing on the history and civil war of the Targaryen dynasty.
Game of Thrones,Show,A fantasy drama about noble families vying for control of the Iron Throne.
Detroit: Become Human,Game,A narrative-driven game about androids gaining sentience in a futuristic city.
Cyberpunk 2077,Game,A futuristic RPG set in a neon city involving cybernetic enhancements and rebellion.
Interstellar,Movie,A space exploration epic about time dilation gravity and saving humanity.
Inception,Movie,A sci-fi heist movie involving dreams layers of reality and complex puzzles.
Magi: The Labyrinth of Magic,Anime,An adventure series inspired by Arabian Nights featuring dungeons and djinns.
Shinju no Nectar,Manga,A dark fantasy story involving nectar-based powers and high-stakes war.
Heaven's Lost Property,Anime,A comedy sci-fi series about powerful Angeloids falling from the sky.
Elden Ring,Game,A challenging open-world fantasy RPG created by Hidetaka Miyazaki and George R.R. Martin.
The Batman,Movie,A gritty detective story following the early years of a masked vigilante in Gotham.
Dune: Part Two,Movie,A desert planet sci-fi saga about politics destiny and giant sandworms.
Spiderman: Across the Spider-Verse,Movie,An animated multiverse adventure featuring different versions of a web-swinging hero.
Final Fantasy VII Rebirth,Game,A massive RPG journey about saving the planet from a powerful ancient soldier.
Attack on Titan,Anime,A dark story about humanity fighting for survival against giant humanoid titans.
One Piece,Anime,A legendary pirate adventure across the seas in search of the ultimate treasure.
The Last of Us Part II,Game,A brutal emotional journey of revenge and survival in a post-apocalyptic world.
Stranger Things,Show,A supernatural horror series set in the 80s involving a parallel dimension.
Breaking Bad,Show,A high school chemistry teacher turns to a life of crime to secure his family's future.
Red Dead Redemption 2,Game,An epic tale of life in America's unforgiving heartland as the outlaw era ends.
Arcane,Show,A visually stunning series about two sisters caught in a war between two cities and magic technology.